,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
58,24-Mar-2020,7848.3,8036.95,7511.1,7801.05,739354439,28282.09
59,25-Mar-2020,7735.15,8376.75,7714.75,8317.85,738114713,28482.01
60,26-Mar-2020,8451.0,8749.05,8304.9,8641.45,866534643,32228.31
61,27-Mar-2020,8949.1,9038.9,8522.9,8660.25,801923401,31336.86
62,30-Mar-2020,8385.95,8576.0,8244.0,8281.1,593953051,24724.44
63,31-Mar-2020,8529.35,8678.3,8358.0,8597.75,713390935,27401.3
64,01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3
65,03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18
66,07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69
67,08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68
68,09-Apr-2020,8973.05,9128.35,8904.55,9111.9,743036134,32907.82
69,13-Apr-2020,9103.95,9112.05,8912.4,8993.85,644468815,26749.06
70,15-Apr-2020,9196.4,9261.2,8874.1,8925.3,880159358,41878.64
71,16-Apr-2020,8851.25,9053.75,8821.9,8992.8,720116479,31318.29
72,17-Apr-2020,9323.45,9324.0,9091.35,9266.75,684910520,33334.73
73,20-Apr-2020,9390.2,9390.85,9230.8,9261.85,726364699,28620.91
74,21-Apr-2020,9016.95,9044.4,8909.4,8981.45,655122903,28273.89
75,22-Apr-2020,9026.75,9209.75,8946.25,9187.3,734383388,33981.82
76,23-Apr-2020,9232.35,9343.6,9170.15,9313.9,666650462,30270.55
77,24-Apr-2020,9163.9,9296.9,9141.3,9154.4,659439249,32859.05
78,27-Apr-2020,9259.7,9377.1,9250.35,9282.3,512793298,26696.54
79,28-Apr-2020,9389.8,9404.4,9260.0,9380.9,614548983,30091.41
80,29-Apr-2020,9408.6,9599.85,9392.35,9553.35,653026950,31673.23
81,30-Apr-2020,9753.5,9889.05,9731.5,9859.9,931173802,39332.46
82,04-May-2020,9533.5,9533.5,9266.95,9293.5,687487134,29785.95
83,05-May-2020,9429.4,9450.9,9190.75,9205.6,725196178,29700.2
84,06-May-2020,9226.8,9346.9,9116.5,9270.9,722185448,30798.1
85,07-May-2020,9234.05,9277.85,9175.9,9199.05,708740416,59705.53
86,08-May-2020,9376.95,9382.65,9238.2,9251.5,609053504,30743.45
87,11-May-2020,9348.15,9439.9,9219.95,9239.2,704647074,31048.47
88,12-May-2020,9168.85,9240.85,9043.95,9196.55,805458787,37706.27
89,13-May-2020,9584.2,9584.5,9351.1,9383.55,846395245,36488.9
90,14-May-2020,9213.95,9281.1,9119.75,9142.75,602555564,29541.59
91,15-May-2020,9182.4,9182.4,9050.0,9136.85,575857112,25847.33
92,18-May-2020,9158.3,9158.3,8806.75,8823.25,772983297,33347.46
93,19-May-2020,8961.7,9030.35,8855.3,8879.1,762152894,32026.94
94,20-May-2020,8889.15,9093.8,8875.35,9066.55,622308140,30721.99
95,21-May-2020,9079.45,9178.55,9056.1,9106.25,631542699,28303.51
96,22-May-2020,9067.9,9149.6,8968.55,9039.25,675759336,31625.47
97,26-May-2020,9099.75,9161.65,8996.65,9029.05,654959960,30871.59
98,27-May-2020,9082.2,9334.0,9004.25,9314.95,763492487,34603.88
99,28-May-2020,9364.95,9511.25,9336.5,9490.1,837911425,37761.91
100,29-May-2020,9422.2,9598.85,9376.9,9580.3,967005438,45006.25
101,01-Jun-2020,9726.85,9931.6,9706.95,9826.15,794183122,38096.92
102,02-Jun-2020,9880.85,9995.6,9824.05,9979.1,770192848,36723.11
103,03-Jun-2020,10108.3,10176.2,10035.55,10061.55,794664422,38343.61
104,04-Jun-2020,10054.25,10123.85,9944.25,10029.1,775106567,36399.04
105,05-Jun-2020,10093.8,10177.8,10040.75,10142.15,987122302,37824.63
106,08-Jun-2020,10326.75,10328.5,10120.25,10167.45,936485541,37819.06
107,09-Jun-2020,10181.15,10291.15,10021.45,10046.65,754217460,36201.05
108,10-Jun-2020,10072.6,10148.75,10036.85,10116.15,632383068,28485.47
109,11-Jun-2020,10094.1,10112.05,9885.05,9902.0,715453486,30813.85
110,12-Jun-2020,9544.95,9996.05,9544.35,9972.9,796306399,36505.77
111,15-Jun-2020,9919.35,9943.35,9726.35,9813.7,716053036,31926.65
112,16-Jun-2020,10014.8,10046.15,9728.5,9914.0,899895044,36257.89
113,17-Jun-2020,9876.7,10003.6,9833.8,9881.15,685418390,30700.69
114,18-Jun-2020,9863.25,10111.2,9845.05,10091.65,622895963,28594.32
115,19-Jun-2020,10119.0,10272.4,10072.65,10244.4,892096343,48103.56
116,22-Jun-2020,10318.75,10393.65,10277.6,10311.2,685385093,35529.8
117,23-Jun-2020,10347.95,10484.7,10301.75,10471.0,669195109,34148.13
118,24-Jun-2020,10529.25,10553.15,10281.95,10305.3,854799801,41394.45
119,25-Jun-2020,10235.55,10361.8,10194.5,10288.9,994190886,41726.07
120,26-Jun-2020,10378.9,10409.85,10311.25,10383.0,671910159,31841.68
121,29-Jun-2020,10311.95,10337.95,10223.6,10312.4,574544482,27019.46
122,30-Jun-2020,10382.6,10401.05,10267.35,10302.1,556238560,27342.55
123,01-Jul-2020,10323.8,10447.05,10299.6,10430.05,573550127,28736.28
124,02-Jul-2020,10493.05,10598.2,10485.55,10551.7,597423931,31235.17
125,03-Jul-2020,10614.95,10631.3,10562.65,10607.35,525190704,25186.39
126,06-Jul-2020,10723.85,10811.4,10695.1,10763.65,571212914,29857.54
127,07-Jul-2020,10802.85,10813.8,10689.7,10799.65,636764929,36502.37
128,08-Jul-2020,10818.65,10847.85,10676.55,10705.75,767941333,37676.34
129,09-Jul-2020,10755.55,10836.85,10733.0,10813.45,618652409,31315.87
130,10-Jul-2020,10764.1,10819.4,10713.0,10768.05,590705425,31557.58
131,13-Jul-2020,10851.85,10894.05,10756.05,10802.7,554050579,30606.3
132,14-Jul-2020,10750.85,10755.65,10562.9,10607.35,532368699,30902.47
133,15-Jul-2020,10701.0,10827.45,10577.75,10618.2,715901258,42376.03
134,16-Jul-2020,10706.2,10755.3,10595.2,10739.95,694402635,41453.95
135,17-Jul-2020,10752.0,10933.45,10749.65,10901.7,676881092,35592.83
136,20-Jul-2020,10999.45,11037.9,10953.0,11022.2,554306867,32738.64
137,21-Jul-2020,11126.1,11179.55,11113.25,11162.25,771998838,42461.89
138,22-Jul-2020,11231.2,11238.1,11056.55,11132.6,765074288,41068.72
139,23-Jul-2020,11135.0,11239.8,11103.15,11215.45,621575333,32744.93
140,24-Jul-2020,11149.95,11225.4,11090.3,11194.15,678935175,40217.17
141,27-Jul-2020,11225.0,11225.0,11087.85,11131.8,588148687,34539.73
142,28-Jul-2020,11154.1,11317.75,11151.4,11300.55,683891350,38677.47
143,29-Jul-2020,11276.9,11341.4,11149.75,11202.85,600726301,38726.02
144,30-Jul-2020,11254.3,11299.95,11084.95,11102.15,677761342,39150.44
145,31-Jul-2020,11139.5,11150.4,11026.65,11073.45,642560311,36220.09
146,03-Aug-2020,11057.55,11058.05,10882.25,10891.6,680929323,31149.94
147,04-Aug-2020,10946.65,11112.25,10908.1,11095.25,625738313,35357.96
148,05-Aug-2020,11155.75,11225.65,11064.05,11101.65,667639446,34894.58
149,06-Aug-2020,11185.7,11256.8,11127.3,11200.15,600374615,31501.08
150,07-Aug-2020,11186.65,11231.9,11142.05,11214.05,452629891,27054.43
151,10-Aug-2020,11270.25,11337.3,11238.0,11270.15,491999534,29108.25
152,11-Aug-2020,11322.25,11373.6,11299.15,11322.5,586084846,30314.89
153,12-Aug-2020,11289.0,11322.0,11242.65,11308.4,609858960,28088.09
154,13-Aug-2020,11334.85,11359.3,11269.95,11300.45,562355175,26500.52
155,14-Aug-2020,11353.3,11366.25,11111.45,11178.4,645109756,31059.23
156,17-Aug-2020,11248.9,11267.1,11144.5,11247.1,633963958,27468.67
157,18-Aug-2020,11259.8,11401.7,11253.15,11385.35,579242492,27267.51
158,19-Aug-2020,11452.15,11460.35,11394.1,11408.4,626217997,27528.12
159,20-Aug-2020,11317.45,11361.45,11289.8,11312.2,791587770,27676.18
160,21-Aug-2020,11409.65,11418.5,11362.2,11371.6,668719170,26294.26
161,24-Aug-2020,11412.0,11497.25,11410.65,11466.45,532900535,28920.84
162,25-Aug-2020,11513.1,11525.9,11423.35,11472.25,638152608,28742.82
163,26-Aug-2020,11512.85,11561.75,11461.85,11549.6,743442521,34852.01
164,27-Aug-2020,11609.3,11617.35,11540.6,11559.25,719776490,31580.61
165,28-Aug-2020,11602.95,11686.05,11589.4,11647.6,806997707,39349.92
166,31-Aug-2020,11777.55,11794.25,11325.85,11387.5,1371789450,61668.55
167,01-Sep-2020,11464.3,11553.55,11366.9,11470.25,783769555,36752.54
168,02-Sep-2020,11478.55,11554.75,11430.4,11535.0,593494423,27454.65
169,03-Sep-2020,11566.2,11584.95,11507.65,11527.45,607115212,26868.26
170,04-Sep-2020,11354.4,11452.05,11303.65,11333.85,681338905,31746.86
171,07-Sep-2020,11359.6,11381.15,11251.7,11355.05,560322964,25959.82
172,08-Sep-2020,11378.55,11437.25,11290.45,11317.35,572239350,27979.7
173,09-Sep-2020,11218.6,11298.15,11185.15,11278.0,728880693,32660.67
174,10-Sep-2020,11363.3,11464.05,11327.4,11449.25,679419973,39239.1
175,11-Sep-2020,11447.8,11493.5,11419.9,11464.45,554789157,29614.09
176,14-Sep-2020,11540.15,11568.9,11383.55,11440.05,642270123,33996.94
177,15-Sep-2020,11487.2,11535.95,11442.25,11521.8,506667239,28054.51
178,16-Sep-2020,11538.45,11618.1,11516.75,11604.55,527804775,27629.71
179,17-Sep-2020,11539.4,11587.2,11498.5,11516.1,517729494,29674.95
180,18-Sep-2020,11584.1,11584.1,11446.1,11504.95,764154094,48698.68
181,21-Sep-2020,11503.8,11535.25,11218.5,11250.55,602851737,37213.23
182,22-Sep-2020,11301.75,11302.2,11084.65,11153.65,672249921,36296.49
183,23-Sep-2020,11258.75,11259.55,11024.4,11131.85,714925847,35542.98
184,24-Sep-2020,11011.0,11015.3,10790.2,10805.55,706139506,33623.71
185,25-Sep-2020,10910.4,11072.6,10854.85,11050.25,559597322,31122.18
186,28-Sep-2020,11140.85,11239.35,11099.85,11227.55,472777324,24361.17
187,29-Sep-2020,11288.6,11305.4,11181.0,11222.4,498295735,26875.14
188,30-Sep-2020,11244.45,11295.4,11184.55,11247.55,499343849,28134.77
189,01-Oct-2020,11364.45,11428.6,11347.05,11416.95,447740006,26212.72
190,05-Oct-2020,11487.8,11578.05,11452.3,11503.35,530597393,31341.55
191,06-Oct-2020,11603.45,11680.3,11564.3,11662.4,561444728,30373.65
192,07-Oct-2020,11679.25,11763.05,11629.35,11738.85,513367516,32935.98
193,08-Oct-2020,11835.4,11905.7,11791.15,11834.6,608768573,38677.49
194,09-Oct-2020,11852.05,11938.6,11805.2,11914.2,611079482,34546.8
195,12-Oct-2020,11973.55,12022.05,11867.2,11930.95,522627571,26586.47
196,13-Oct-2020,11934.65,11988.2,11888.9,11934.5,458304851,29403.22
197,14-Oct-2020,11917.4,11997.2,11822.15,11971.05,569245407,29940.62
198,15-Oct-2020,12023.45,12025.45,11661.3,11680.35,608865041,35175.92
199,16-Oct-2020,11727.4,11789.75,11667.85,11762.45,555764762,30439.19
200,19-Oct-2020,11879.2,11898.25,11820.4,11873.05,541420990,29888.6
201,20-Oct-2020,11861.0,11949.25,11837.25,11896.8,453560934,28367.34
202,21-Oct-2020,11958.55,12018.65,11775.75,11937.65,623658140,37477.13
203,22-Oct-2020,11890.0,11939.55,11823.45,11896.45,544901152,33013.17
204,23-Oct-2020,11957.9,11974.55,11908.75,11930.35,502340361,27424.61
205,26-Oct-2020,11937.4,11942.85,11711.7,11767.75,519815905,29316.02
206,27-Oct-2020,11807.1,11899.05,11723.0,11889.4,616318543,37989.97
207,28-Oct-2020,11922.6,11929.4,11684.85,11729.6,704018608,37025.89
208,29-Oct-2020,11633.3,11744.15,11606.45,11670.8,554959844,30436.62
209,30-Oct-2020,11678.45,11748.95,11535.45,11642.4,553672805,28151.58
210,02-Nov-2020,11697.35,11725.65,11557.4,11669.15,568434165,35714.57
211,03-Nov-2020,11734.45,11836.2,11723.3,11813.5,674303605,36363.95
212,04-Nov-2020,11783.35,11929.65,11756.4,11908.5,667290347,38552.09
213,05-Nov-2020,12062.4,12131.1,12027.6,12120.3,632455414,32311.46
214,06-Nov-2020,12156.65,12280.4,12131.85,12263.55,576837602,34965.94
215,09-Nov-2020,12399.4,12474.05,12367.35,12461.05,553449924,34255.11
216,10-Nov-2020,12556.4,12643.9,12475.25,12631.1,847450692,51247.01
217,11-Nov-2020,12680.6,12769.75,12571.1,12749.15,880475468,54744.55
218,12-Nov-2020,12702.15,12741.15,12624.85,12690.8,622017762,36794.24
219,13-Nov-2020,12659.7,12735.95,12607.7,12719.95,513948665,34568.65
220,14-Nov-2020,12823.35,12828.7,12749.45,12780.25,107868139,5189.38
221,17-Nov-2020,12932.5,12934.05,12797.1,12874.2,707676873,40977.03
222,18-Nov-2020,12860.1,12948.85,12819.35,12938.25,731321438,39856.45
